Sat1.X                    Sat1.Y                    Sat1.Z                    Sat1.ElapsedDays          Sat1.RAAN                 Sat1.Earth.RMAG           
1428.98                   -4119.99                  6010.84                   0.173038                  98.6777                   7426.07                   
1458.77                   -4724.77                  5541.15                   0.17425                   98.6789                   7426.69                   
1473.04                   -5279.12                  5012.55                   0.175462                  98.6799                   7427.29                   
1471.65                   -5777.18                  4430.74                   0.176673                  98.6807                   7427.86                   
1454.62                   -6213.69                  3801.94                   0.177883                  98.6813                   7428.36                   
1440.7                    -6402.83                  3480.24                   0.178474                  98.6815                   7428.59                   
1430.75                   -6507.1                   3285.78                   0.178823                  98.6816                   7428.71                   
1419.2                    -6608.32                  3082.79                   0.179182                  98.6817                   7428.83                   
1377.69                   -6869.3                   2471.21                   0.180235                  98.682                    7429.15                   
1317.42                   -7097.68                  1756.04                   0.181426                  98.6821                   7429.42                   
1242.5                    -7254.64                  1012.6                    0.182633                  98.6822                   7429.6                    
1154.31                   -7334.94                  257.361                   0.183842                  98.6822                   7429.67                   
1053.86                   -7337.46                  -500.668                  0.185051                  98.6822                   7429.65                   
942.246                   -7262.15                  -1253.37                  0.18626                   98.6822                   7429.51                   
820.629                   -7109.82                  -1992.77                  0.187469                  98.6823                   7429.28                   
690.295                   -6882.06                  -2711.07                  0.188678                  98.6825                   7428.94                   
552.616                   -6581.27                  -3400.67                  0.189887                  98.6828                   7428.53                   
409.041                   -6210.58                  -4054.28                  0.191097                  98.6833                   7428.04                   
261.085                   -5773.88                  -4664.94                  0.192306                  98.684                    7427.49                   
110.31                    -5275.76                  -5226.18                  0.193517                  98.6848                   7426.89                   
-41.6872                  -4721.45                  -5731.98                  0.194728                  98.6858                   7426.26                   
-193.294                  -4116.8                   -6176.93                  0.195939                  98.6869                   7425.62                   
-342.895                  -3468.22                  -6556.24                  0.19715                   98.6883                   7424.98                   
-488.896                  -2782.58                  -6865.81                  0.198362                  98.6898                   7424.36                   
-629.735                  -2067.18                  -7102.29                  0.199574                  98.6914                   7423.77                   
-763.904                  -1329.65                  -7263.1                   0.200787                  98.693                    7423.22                   
-827.583                  -957.737                  -7314.25                  0.201389                  98.6939                   7422.97                   
-864.435                  -735.298                  -7335.56                  0.201747                  98.6944                   7422.82                   
-904.736                  -485.483                  -7351.31                  0.202148                  98.695                    7422.67                   
-1007.38                  185.646                   -7351.26                  0.203221                  98.6966                   7422.29                   
-1111.81                  931.415                   -7278.82                  0.204417                  98.6983                   7421.92                   
-1205.78                  1676.35                   -7128.56                  0.205628                  98.7                      7421.62                   
-1287.04                  2404.31                   -6902.16                  0.20684                   98.7016                   7421.39                   
-1354.59                  3106.6                    -6602.17                  0.208052                  98.7032                   7421.22                   
-1407.71                  3775.6                    -6231.86                  0.209264                  98.7046                   7421.11                   
-1445.83                  4404.16                   -5795.25                  0.210475                  98.7058                   7421.05                   
-1468.55                  4985.61                   -5297.06                  0.211685                  98.7068                   7421.04                   
-1475.66                  5513.79                   -4742.64                  0.212895                  98.7077                   7421.06                   
-1467.07                  5983.11                   -4137.97                  0.214104                  98.7084                   7421.1                    
-1442.91                  6388.66                   -3489.51                  0.215313                  98.7089                   7421.16                   
-1403.43                  6726.17                   -2804.2                   0.216521                  98.7093                   7421.22                   
-1349.08                  6992.16                   -2089.3                   0.217729                  98.7095                   7421.28                   
-1280.42                  7183.85                   -1352.42                  0.218936                  98.7096                   7421.34                   
-1198.2                   7299.28                   -601.347                  0.220144                  98.7097                   7421.37                   
-1103.28                  7337.27                   155.996                   0.22135                   98.7097                   7421.39                   
-996.67                   7297.44                   911.621                   0.222557                  98.7097                   7421.39                   
-879.492                  7180.23                   1657.57                   0.223764                  98.7097                   7421.37                   
-752.975                  6986.87                   2385.98                   0.224971                  98.7099                   7421.34                   
-618.45                   6719.38                   3089.19                   0.226178                  98.7101                   7421.3                    
-477.328                  6380.56                   3759.74                   0.227385                  98.7104                   7421.26                   
